ruumiinosat, body parts
leuka, jaw
käsivarsi, arm
ranne, wrist
rinta, breast/chest
jalka, leg/foot
niska, neck
nilkka, ankle
varvas, toe
pitää, keep/hold/need/like
käytös, behavior/conduct/manners
noudatta, comply with
kuuro, shower/flurry/hail
käytös, behavior/conduct/manners
noudatta, comply with
kuuro, shower/flurry/hail
soitin, instrument
leivänpaahdin, toaster
sivellin, brush
tuuletin, fan/ventilator
väite, claim
kangas, cloth
saapas, boot
tehdas, factory
varas, thief
lähettää, send
asti, until
vihdoin, finally
saapu, arrive
ei haittaa, does not matter
sillä, for/that
tunnelma, atmosphere
kerran, once
sillä aikaa, meanwhile
perille, there/to the destination
ikävä, tedious/nasty/unpleasant
yllätys, surpise
ei mistään, from nowhere
vara, spare
hakkaa, hack/beat/chop
vihdan, bath whisk
myöhä, late
sytyttää tulen, start a fire
naureskelee, laughs
naureskella, laugh
saunoa, take a sauna
vilvoittele, cool off
viilenee, getting colder
tarkenee, stand the cold
ainoa, only
uskaltaa, dare
portaat, stairs
kaata, pour
varjosta, overshadow
kaadu, fall down
päälle, on to/over
jotta, so that
rantakallio, cliff
sanaristikko, crossword puzzle
heittää, throw
tikkaa, darts
haitata, hinder/hamper
pysähtyä, stop
viereinen, next/adjacent to
lämmetä, warm
syttyä, ignite
viiletä, cool off
tarjeta, stand the cold
porras, step/stair
savustaa, smoke
tosin, indeed
välillä, between
löyly, steam
kauha, scoop
kiuas, heater
kiulu, pail
laude, board
tunturi, mountain in lapland
mäki, hill
saari, island
ranta, beach
rannikko, coastline
kallio, rock
salmi, strait
vuori, mountain
joki, stream
hauki, pike
ahven, perch
silakka, baltic herring
hirvi, moose
siili,hedgehog
hiiri, mouse
etana, snail
mato, worm
varis, crow
harakka, magpie
lokki, seagull
pulu, pigeon
pääskynen, swallow
sorsa,duck
pöllö, owl
poro, reindeer
joutsen, swan
pihlaja, rowan
mänty, pine
vaahtera, maple
tammi, oak
lehmus, lime
heinä, hay
pensas, shrub
bensa, gasoline
jäkälä, lichen
sammal, moss
lähteä, go/start/depart/come
kävellä, walk/navigate
käydä, visit/go/come
tulla, come/become/reach
palata, return/turn back
sytyttää/syttyä,ignite
kaataa/kaatua, cut down
herättää/herätä, wake up
avata/aueta, open
sulkea/sulkeutua, close
sammuttaa/sammua, turn off
pudottaa/pudota, drop
jatkaa/jatkua, continue
jättää/jäädä, leave/left
vanheta, grow old
nuoreta, become young
lämmetä, warm up
viiletä, cool off
kuumeta, get hot
lyhetä, shorten
pidetä, lengthen
pimetä, darken
suureta, enlarge
pienetä, decrease
tyhjetä, deflate
tyhjä, empty/idle/flat
paeta,escape/run
vaieta, keep silent
tarjeta, stand the cold
päälle, side
päin, towards
kohti, towards
jälkeen, after
ennen, before
asti,until
sillä, for
vaikka, although
jotta, so/that
salibandyä, a ball game played indoors with sticks
jumppa, gymnastics
jumpata, do gymnastics
lenkki, outdoor activities/jogging/link
juoksua, running
keilausta, bowling
hiihtoa, skiing
laskettelua, downhill skiing
luistelua, skating
rullaluistelu, roller skating 
ratsastusta, horseback riding
telua, play
joogaa, yoga
purjehdusta, sailing
sauva, rod
sauvakävelyä, pole walking
huilua, flute
viulua, violin
bassoa, bass
rumpuja, drums
kuoro, choir/chorus
maanantaisin, every monday
kerran, once
sauva, rod/wand
huilua, flute
trumpettia, trumpet
bassoa, bass
rumpuja, drums
kuoro, choir
sulkapallo, badminton
saunominen, taking a sauna bath
pyöräileminen, cycling
keilaaminen, bowling
inhota, hate/disgust
vihata, hate
tylsä, boring/dull
vaikuttaa, seems/influence/affect/work/impact
maistua, taste
tuoksua, smell
kiinnostunut, interested
varkaus, theft
varas, thief
murtovaras, burglar/housebreaker
murtautuja, burglar
murto, burglary/break-in
varasta, steal
eräs, one/someone/a certain/some
jäädä, remain/stay/left/end up as/get off/depart
yhtäkkiä, suddenly
keskeyttää, interrupt
outoa, strange
ihme/ihmetys, wonder
roikkua, hang/dangle
ripustaa, hang/suspend
vino, oblique/skew
hirveä, terrible
sotku, mess
komero, closet/cupboard
tavaraa,stuff/goods/things/article
sikin sokin, /all over the place
kaikenlaista, all kinds of
uskomantonta, unbelivable
usko, belief/faith/trust
murtautua, break into
tänne, here
ikivanhaa, ancient
ilmoitus, ad/notification/declaration/announcement
ilmoittaa, inform/advertise/declare/notify/report/announce
tarkasti, closely/precisely/finely/subtly
tekijä, maker/doer/perpetrator
harvoin, rarely
kiinni, closed/secure/locked/caught
neuvoa, advise/counsel/recommend
melko, quite/pretty/reasonably/enough
korvashakemus, compensation application
korvaus, compensation/reimbursement/replacement
ennen kuin, before/prior to
omavastuu, deductible
vastuu, responsibility/liability
keskeyttää, interrupt
kellari, cellar
outo, strange/weird
sulkea, close/exclude
sisälle, inside/indoors
molemmat, both
ihmeissään, wonderingly
lukko, lock
rikki, broken
roikkua, hang/hang around/dangle
hirveä, terrible/awful
sotku, mess
moni, many
komero, closet/cupboard
tavara, goods/stuff/thing
huudahtaa, exclaim/cry/ejaculate
uskomaton, unbelievable/incredible/fanstastic
joku, someone/anyone
varastaa, steal
jokin, one/any/some/something
rikkoa, break/violate/infringe
huomata, note/notice
heti, immediately/instantly
murtautuja, burglar
ainakin, at least
lasketteluvälineet, skiing equipment
rengas, ring/tire
kuitenkaan, however/through
ei mitään, nothing/none
varastettu, stolen
harvoin, rarely/seldom
vakuutus, insurance
ennen kuin, before
päätös, decision
korvaus, compensation
omavastuu, deductible
asiakirjat,documentation
muutto, migration
valitus, appeal/complaint
todistus, certificate/testimony
liite, annex/attachment
lasku, fall/invoice/bill/drop/decrease
kuitti, receipt/voucher
luvat, permits/license
oleskelulupa, residence permit
toimipiste, office
neuvonta, info desk
virkailija, official/clerk
vuoronumero,shift number
virastot, agencies/beureau
maistraatti, registry office
kansaneläkelaitos, national pension institute
aina, always
koko ajan, all the time
ei koskaan, never
joskus, sometimes
välillä, between/off and on/in between times
samaan aikaan, at the same time
eri aikaan, at different time
menneisyys, past
tapahtuma, event/transaction/happening
jälki, track/trace/footstep/imprint
tulos, result/outcome
kokemus, experience/practice/knowledge
koko ikäni, all my life
silloin tällöin, every now and then
ei vielä, not yet
usein, often/frequently
neuvoa, advise/counsel
kantaa, carry/bear/deliver
opettaa, teach
pyörä, wheel/bike
oppia, learn
pyytää, request/ask
väsynyt, tired
epäonnistunut, unsuccessful/luckless
onnistunut, successful
kadonnut, lost/missing
kiinnostunut, interested
kulunut, worn/past
kyllästynyt, tired/bored/stale
kyllästyä, get tired/weary/sicken of
loukkaantunut, injured/offended
saastunut, polluted/contaminated/poisoned/foul
saastua, to be polluted
joku, someone/anyone
jokin, one/any/some/something/somewhere
ei kukaan, no one/nobody
ei mikään, nothing
korkokengät, high heels
tulinen, hot/fiery
tavat, manners
lähtien,since
häät, wedding
avioliito, marriage
parisuhde, relationship
kihloihin, engaged
uutenavuotena, new year eve
kihlaus, betrothal/engagement
yllätys, suprise
kesken, in the middle of
ilotulitus, firework
takka, fireplace
polvistua, kneel down
suostua, agree
kihlasormus, engagement ring
varata, book/reserve
paras mies, bestman
kaaso, bridesmaid
hääpuku, wedding dress
polttarit, bachelor party
pitkin, along/by
käytävä, aisle/corridor
väki, people/folks
pappi, priest
pitää, give/make/deliver/throw/run/keep/hold/need/like
ystävyys, friendship
rakkaus, love
tulkata/tulkita/kääntää, interpret
tulkki, interpreter
tahdon, I want /i will
tahtoa, will
vieras, guest
onnitella, congratulate
onnea, congratulations
tuoda, bring
täti, aunt
leikata,cut
valssi, waltz
morsiuskimpu, bridal bouquet
viettää, spend/celebrate
vilkuttaa, wave/wink
päättää, decide/determine/choose/end/terminate
tulkata,interpret
molemmat, both
harjoitella, practice/exercise/train/rehearse
hienosti, finely/great
hakea, apply/seek/retrieve/claim/get/fetch/pick/seek for/claim for/collect
kimppu/nippu, bundle/bunch
viettää,spend/celebrate
avio, married/martial
liitto, union/alliance
avioliitto, marriage
aviomies, husband
aviovaimo, wife
aviopari/pariskunta, couple/pair
kosia, propose marriage to
morsian, bride/fiancee
sulhanen, bridegroom
vihkiä, to marry/consecrate/ordain/devote/dedicate
vihkisormus, wedding ring
maistraatti, registry office
miesystävä, male friend
naisystävä, female friend
poikaystävä, boyfriend
tyttöystävä, girlfriend
kihlajaiset, engagement
rekisteröity parisuhde , registered partnership
erota, separate/differ/divorce/resign
olla eronnut, divorced
uusperhe, new family
isäpuoli, stepfather
äitipuoli, stepmother
huoltaja, caretaker
ristiäiset/nimijuhla, christening
rippijuhlat, confession party
ylioppilasjuhlat, secondary school graduate party
50-vuotispäivät, 50 anniversaries
hautajaiset, funeral
valmistujaiset, graduation party
laskiainen, shrovetide/pancake day
pääsiäinen, easter
vappu, first of May
juhannus, Midsummer
itsenäisyyspäivä, independent day
pikkujoulut, little christmas
joulu, christmas
juhlia, celebrate
täyttää, fill/meet/satisfy/fulfill
laittaa, put/set/cook/lay
futuuri, future
ohi, past/by
niitä, them
avaruus, space/width/wideness/vastness
kauneus, beauty
kirjallisuus, literature
korkeus, height
lapsuus, childhood
nuoruus, youth/adolescence
pituus, length/height
rikkaus, wealth/richness
sairaus, disease/illness
syvyys, depth
talous, economic/household
totuus, truth
uutuus, novelty/innovation/newness
vanhuus, old age/age/antiquity
sija, location/position/case/room
pitsiä, lace/point
suku, family/gender
luku, number
kyky, ability/capacity/talent/gift
jälki, trace/track
järki, reason/sense/wits/sanity
joka, which/that/who/that/any/every
haastattelu, interview
lehti, magazine
ihmestyä, appear/to be published
lukukausi, semester
viihtyä, enjoy
ihastua, be delighted/become infatuated/fall in love/be thrilled/pleased 
ihana, wonderful/lovely/delightful/beautiful/glorious/adorable/great/marvelous/fanstic/sweet/delicious
erityisesti, specially/in particular/especially/particularly
luotettavia, reliable
hieman, slightly
ujo,shy
päättää, decide/determine
päästä, get/reach/gain/coe to
parikymmentä, twenty
tietoliikennetekniikka, communication technology
kestää, last/take/endure
vaihtelevaa, variable
ääressä, at/over
osallistua, participate
opinnot, studies
osakeyhtiö, limited company
yritys, company/enterprise/undertaking/firm/attempt/corporation/effort
uutinen, news/new/item
työtekijä, employee
silloin, then/by then/at the time
eri, different/various/separate/individual/distinct/diverse/miscellaneous
vuodenaika, season
rauhallinen, quiet/peaceful
myöhemmin, later/subsequently/afterwards
valmistua, graduate from
ammattikorkeakoulu, university of applied sciences
kielteinen, negative
keksiä, invent/figure out/discover/dream up/find out/work out
kontakti, contact
koulutus, training/education/instruction/schooling
ammattikoulu, vocational school/trade school
sieltä, from there/thence
automekaanikko, car mechanic
autokorjaamo, car repair shop
erilainen, different/unequal/diverse/various
nykyinen, current/present/now/existing/existent
työskennellä, work
tiimi, team
joukkue, team/troop
projektipäällikkö, project manager
oppia, learn/get to
aloittaa, start/begin
intensiivikurssi, intensive course
tutustua, meet
ulkomaalainen, foreigner/alien/noresident
käyttää, use/exercise/wear/operate/spend/utilize/employ
mukana, with/about/along
kansanvälinen, international
mahdollisimman paljon, as much as possible
salibandy, floorball
pelimatka, game trip
opetella, learn
oppitunti, lesson/class/tutorial/peroid
luento, lecture
seminaari, seminar
lukukausi, semester/term/session
lukuvuosi, session
opetella/oppia/opiskella, learn
opettaa, teach
harjoitella, practice/exercise
esikoulu, preschool
peruskoulu, primary school
käydä, visit/go/attend/come/run
lukio, high school/senior high school
ylioppilas, secondary school graduate
ylioppilaskirjoitukset, matriculation exam
kirjoittaa ylioppilaaksi, graduate from high school
kirjoittaa, write/spell/to take an exam in a subject at Finnish lukio
ammattikoulu, vocational school
amattikorkeakoulu, university of applied science
yliopisto/korkeakoulu, university/college
koe/tentti, test/experiment/trial/quiz/essay/paper/try-out
arvosana, grade/mark
todistus, certificate/testimony/transcript/warrant
tutkinto, exam
pyrkiä,strive/enveavour/seek/pursue/plan to become/aspire to be/run for/to tend
pääsykoe, extrance exam
valmistua, graduate from
hakea töitä, apply for a job
ansioluettelo, CV
ansio, credit/worth/merit
luettelo, catalog/list/index/inventory/record/register
työhakemus, job application
työhaastattelu, job interview
työharjoittelu, on-the-job training
työkokemus, work experience
harjoittelija, trainee/apprentice
pääte, terminal/termination/ending
näyttelijä, actor/actress/player
kännykkä, mobile/cellular phone
tavallisesti, usually
kääntäjä, translator
hämärä, twilight/dusk/dark/gloom/shadows/haze
valoisa, bright/light/luminous
fysiikka, physique/physics
ruveta, start/take up/enter into/to become/wish to become
kollege, colleague
rakastua, fall in love
nämä, these
nuo, those
ne, they/them
tämä, this
tuo, that
se, it/he/she
ostoksilla, shopping/purchase
asiointi, business/transaction/ interaction between a person and an authority
vertailu, comparison/collation
selailla, browse
mainos, advertisement
tavaratalo, department store
liikke, shop/movement/motion/business
tarjous, offer/bid/tender/quote/quotation/bargain
sillä, for
aikoa, purpose/design/plan/intend/aim/be about to
hankkia, acquire/buy/purchase/get/buy/find/provide/procure/recruit/accommodate
lämpene, warm up
hoitaa, take care/manage/treat/handle/run/deal with/attend/administer
sitä paitsi/lisäksi, besides/moreover/furthermore
paitsi, except/but/excluding/apart from/besides/in addition to
shoppailu, shopping
edessä, in front/ahead
palautta, return
hajota, break up
valmistus, manufacturing/manufacture/making/preparation
virhe, error/mistake/fault/defect/flaw/foul/misstep
luulla, think/believe/suppose
edes, at least/at all
edullinen/halpa, inexpensive/cheap/affordable
siinä tapauksessä, in that case/if so
tapaus, case/incident/event/occurrence/occasion/accident
mikäs siinä, why not
